context,id_a,id_b,title_a,title_b,key_a,key_b,grid_dist_3d,cosine_sim,harmonic_tier,edge_kind,edge_strength,is_thread
pool-party,43,70,Ocean Drive (Extended Mix),What I Might Do,1A,5A,0.9412,0.918,,none,0,0
pool-party,43,72,Ocean Drive (Extended Mix),Where the Subtle Meets Infinity (Original Mix),1A,1A,1.0441,0.343,same,harmonic,1,1
pool-party,46,47,Preach The World (Original Mix),Promiscuous [AV Edit],12A,3A,1.2195,0.7105,,none,0,0
pool-party,46,54,Preach The World (Original Mix),Slow Down (James Cole Remix),12A,9A,1.4858,0.7655,,none,0,0
pool-party,46,56,Preach The World (Original Mix),Sordid Affair (Maceo Plex Mix),12A,3A,1.1265,0.9042,,none,0,0
pool-party,46,57,Preach The World (Original Mix),Stones Throw (Original Mix),12A,8A,1.2559,0.6564,,none,0,0
pool-party,46,62,Preach The World (Original Mix),The Way You Move (Original Mix),12A,5A,0.5721,0.7602,,none,0,0
pool-party,46,63,Preach The World (Original Mix),There's Never Been (No One Like You)(P's Sunrise Edit),12A,10B,1.2559,0.5534,,none,0,0
pool-party,46,66,Preach The World (Original Mix),Walk The Line (Extended Mix),12A,9A,1.2559,0.7392,,none,0,0
pool-party,46,69,Preach The World (Original Mix),What Can I Do,12A,8A,1.2433,0.6911,,none,0,0
pool-party,46,70,Preach The World (Original Mix),What I Might Do,12A,5A,0.5877,0.8144,,none,0,0
pool-party,46,72,Preach The World (Original Mix),Where the Subtle Meets Infinity (Original Mix),12A,1A,0.4869,0.536,adjacent,harmonic,0.7,1
pool-party,47,54,Promiscuous [AV Edit],Slow Down (James Cole Remix),3A,9A,0.5,0.8306,,none,0,0
pool-party,47,56,Promiscuous [AV Edit],Sordid Affair (Maceo Plex Mix),3A,3A,0.4118,0.8425,same,harmonic,1,1
pool-party,47,57,Promiscuous [AV Edit],Stones Throw (Original Mix),3A,8A,0.3003,0.9202,,none,0,0
pool-party,47,62,Promiscuous [AV Edit],The Way You Move (Original Mix),3A,5A,1.0441,0.826,,none,0,0
pool-party,47,63,Promiscuous [AV Edit],There's Never Been (No One Like You)(P's Sunrise Edit),3A,10B,0.3003,0.341,,none,0,0
pool-party,47,66,Promiscuous [AV Edit],Walk The Line (Extended Mix),3A,9A,0.3003,0.7756,,none,0,0
pool-party,47,69,Promiscuous [AV Edit],What Can I Do,3A,8A,1,0.7338,,none,0,0
pool-party,47,70,Promiscuous [AV Edit],What I Might Do,3A,5A,0.9879,0.9193,,none,0,0
pool-party,47,72,Promiscuous [AV Edit],Where the Subtle Meets Infinity (Original Mix),3A,1A,1,0.3336,,none,0,0
pool-party,54,56,Slow Down (James Cole Remix),Sordid Affair (Maceo Plex Mix),9A,3A,0.9118,0.8639,,none,0,0
pool-party,54,57,Slow Down (James Cole Remix),Stones Throw (Original Mix),9A,8A,0.5832,0.7636,adjacent,harmonic,0.7,1
pool-party,54,62,Slow Down (James Cole Remix),The Way You Move (Original Mix),9A,5A,1.1577,0.6874,,none,0,0
pool-party,54,63,Slow Down (James Cole Remix),There's Never Been (No One Like You)(P's Sunrise Edit),9A,10B,0.5832,0.5861,,none,0,0
pool-party,54,66,Slow Down (James Cole Remix),Walk The Line (Extended Mix),9A,9A,0.5832,0.8085,same,harmonic,1,1
pool-party,54,69,Slow Down (James Cole Remix),What Can I Do,9A,8A,1.5,0.6359,adjacent,harmonic,0.7,1
pool-party,54,70,Slow Down (James Cole Remix),What I Might Do,9A,5A,1.1072,0.7654,,none,0,0
pool-party,54,72,Slow Down (James Cole Remix),Where the Subtle Meets Infinity (Original Mix),9A,1A,1.118,0.5707,,none,0,0
pool-party,56,57,Sordid Affair (Maceo Plex Mix),Stones Throw (Original Mix),3A,8A,0.5096,0.7736,,none,0,0
pool-party,56,62,Sordid Affair (Maceo Plex Mix),The Way You Move (Original Mix),3A,5A,1.1224,0.7019,,none,0,0
pool-party,56,63,Sordid Affair (Maceo Plex Mix),There's Never Been (No One Like You)(P's Sunrise Edit),3A,10B,0.5096,0.5459,,none,0,0
pool-party,56,66,Sordid Affair (Maceo Plex Mix),Walk The Line (Extended Mix),3A,9A,0.5096,0.8337,,none,0,0
pool-party,56,69,Sordid Affair (Maceo Plex Mix),What Can I Do,3A,8A,0.5882,0.771,,none,0,0
pool-party,56,70,Sordid Affair (Maceo Plex Mix),What I Might Do,3A,5A,1.0703,0.7743,,none,0,0
pool-party,56,72,Sordid Affair (Maceo Plex Mix),Where the Subtle Meets Infinity (Original Mix),3A,1A,1.0815,0.5287,,none,0,0
pool-party,57,62,Stones Throw (Original Mix),The Way You Move (Original Mix),8A,5A,1.1665,0.9036,,none,0,0
pool-party,57,63,Stones Throw (Original Mix),There's Never Been (No One Like You)(P's Sunrise Edit),8A,10B,0.6006,0.4541,,none,0,0
pool-party,57,66,Stones Throw (Original Mix),Walk The Line (Extended Mix),8A,9A,0,0.8221,adjacent,harmonic,0.7,1
pool-party,57,69,Stones Throw (Original Mix),What Can I Do,8A,8A,1.0441,0.6667,same,harmonic,1,1
pool-party,57,70,Stones Throw (Original Mix),What I Might Do,8A,5A,1.1165,0.8479,,none,0,0
pool-party,57,72,Stones Throw (Original Mix),Where the Subtle Meets Infinity (Original Mix),8A,1A,1.0441,0.4518,,none,0,0
pool-party,62,63,The Way You Move (Original Mix),There's Never Been (No One Like You)(P's Sunrise Edit),5A,10B,1,0.4121,,none,0,0
pool-party,62,66,The Way You Move (Original Mix),Walk The Line (Extended Mix),5A,9A,1.1665,0.7466,,none,0,0
pool-party,62,69,The Way You Move (Original Mix),What Can I Do,5A,8A,1.4457,0.599,,none,0,0
pool-party,62,70,The Way You Move (Original Mix),What I Might Do,5A,5A,0.0588,0.9242,same,harmonic,1,1
pool-party,62,72,The Way You Move (Original Mix),Where the Subtle Meets Infinity (Original Mix),5A,1A,0.3003,0.4073,,none,0,0
pool-party,63,66,There's Never Been (No One Like You)(P's Sunrise Edit),Walk The Line (Extended Mix),10B,9A,0.6006,0.5131,,none,0,0
pool-party,63,69,There's Never Been (No One Like You)(P's Sunrise Edit),What Can I Do,10B,8A,1.0441,0.535,,none,0,0
pool-party,63,70,There's Never Been (No One Like You)(P's Sunrise Edit),What I Might Do,10B,5A,0.9412,0.3338,,none,0,0
pool-party,63,72,There's Never Been (No One Like You)(P's Sunrise Edit),Where the Subtle Meets Infinity (Original Mix),10B,1A,1.0441,0.8776,,none,0,0
pool-party,66,69,Walk The Line (Extended Mix),What Can I Do,9A,8A,1.0441,0.562,adjacent,harmonic,0.7,1
pool-party,66,70,Walk The Line (Extended Mix),What I Might Do,9A,5A,1.1165,0.7124,,none,0,0
pool-party,66,72,Walk The Line (Extended Mix),Where the Subtle Meets Infinity (Original Mix),9A,1A,1.0441,0.6292,,none,0,0
pool-party,69,70,What Can I Do,What I Might Do,8A,5A,1.4057,0.6783,,none,0,0
pool-party,69,72,What Can I Do,Where the Subtle Meets Infinity (Original Mix),8A,1A,1.4142,0.5303,,none,0,0
pool-party,70,72,What I Might Do,Where the Subtle Meets Infinity (Original Mix),5A,1A,0.306,0.3255,,none,0,0
festival-brunch,3,8,Boiling (feat. Sinead Harnett),DJs Gotta Dance More feat. Todd Terry (Extended),11A,10A,1.5073,0.7415,adjacent,harmonic,0.7,1
festival-brunch,3,20,Boiling (feat. Sinead Harnett),Hit The Ground  (Extended Mix),11A,6A,0.3037,0.8165,,none,0,0
festival-brunch,3,57,Boiling (feat. Sinead Harnett),Stones Throw (Original Mix),11A,8A,0.3037,0.6016,,none,0,0
festival-brunch,3,62,Boiling (feat. Sinead Harnett),The Way You Move (Original Mix),11A,5A,1.2057,0.5414,,none,0,0
festival-brunch,3,63,Boiling (feat. Sinead Harnett),There's Never Been (No One Like You)(P's Sunrise Edit),11A,10B,0.6023,0.8677,,none,0,0
festival-brunch,3,66,Boiling (feat. Sinead Harnett),Walk The Line (Extended Mix),11A,9A,0.0455,0.4898,,none,0,0
festival-brunch,3,72,Boiling (feat. Sinead Harnett),Where the Subtle Meets Infinity (Original Mix),11A,1A,1.2057,0.7494,,none,0,0
festival-brunch,8,20,DJs Gotta Dance More feat. Todd Terry (Extended),Hit The Ground  (Extended Mix),10A,6A,1.4457,0.7975,,none,0,0
festival-brunch,8,57,DJs Gotta Dance More feat. Todd Terry (Extended),Stones Throw (Original Mix),10A,8A,1.4457,0.5244,,none,0,0
festival-brunch,8,62,DJs Gotta Dance More feat. Todd Terry (Extended),The Way You Move (Original Mix),10A,5A,2.2361,0.4688,,none,0,0
festival-brunch,8,63,DJs Gotta Dance More feat. Todd Terry (Extended),There's Never Been (No One Like You)(P's Sunrise Edit),10A,10B,1.4142,0.7201,,none,0,0
festival-brunch,8,66,DJs Gotta Dance More feat. Todd Terry (Extended),Walk The Line (Extended Mix),10A,9A,1.5365,0.5497,adjacent,harmonic,0.7,1
festival-brunch,8,72,DJs Gotta Dance More feat. Todd Terry (Extended),Where the Subtle Meets Infinity (Original Mix),10A,1A,2.2361,0.7263,,none,0,0
festival-brunch,20,57,Hit The Ground  (Extended Mix),Stones Throw (Original Mix),6A,8A,0,0.409,,none,0,0
festival-brunch,20,62,Hit The Ground  (Extended Mix),The Way You Move (Original Mix),6A,5A,1.0441,0.368,adjacent,harmonic,0.7,1
festival-brunch,20,63,Hit The Ground  (Extended Mix),There's Never Been (No One Like You)(P's Sunrise Edit),6A,10B,0.3003,0.9417,,none,0,0
festival-brunch,20,66,Hit The Ground  (Extended Mix),Walk The Line (Extended Mix),6A,9A,0.3003,0.598,,none,0,0
festival-brunch,20,72,Hit The Ground  (Extended Mix),Where the Subtle Meets Infinity (Original Mix),6A,1A,1.0441,0.9412,,none,0,0
festival-brunch,57,62,Stones Throw (Original Mix),The Way You Move (Original Mix),8A,5A,1.0441,0.9036,,none,0,0
festival-brunch,57,63,Stones Throw (Original Mix),There's Never Been (No One Like You)(P's Sunrise Edit),8A,10B,0.3003,0.4541,,none,0,0
festival-brunch,57,66,Stones Throw (Original Mix),Walk The Line (Extended Mix),8A,9A,0.3003,0.8221,adjacent,harmonic,0.7,1
festival-brunch,57,72,Stones Throw (Original Mix),Where the Subtle Meets Infinity (Original Mix),8A,1A,1.0441,0.4518,,none,0,0
festival-brunch,62,63,The Way You Move (Original Mix),There's Never Been (No One Like You)(P's Sunrise Edit),5A,10B,1,0.4121,,none,0,0
festival-brunch,62,66,The Way You Move (Original Mix),Walk The Line (Extended Mix),5A,9A,1.1665,0.7466,,none,0,0
festival-brunch,62,72,The Way You Move (Original Mix),Where the Subtle Meets Infinity (Original Mix),5A,1A,0,0.4073,,none,0,0
festival-brunch,63,66,There's Never Been (No One Like You)(P's Sunrise Edit),Walk The Line (Extended Mix),10B,9A,0.6006,0.5131,,none,0,0
festival-brunch,63,72,There's Never Been (No One Like You)(P's Sunrise Edit),Where the Subtle Meets Infinity (Original Mix),10B,1A,1,0.8776,,none,0,0
festival-brunch,66,72,Walk The Line (Extended Mix),Where the Subtle Meets Infinity (Original Mix),9A,1A,1.1665,0.6292,,none,0,0
afterglow,1,2,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Ayo for Yayo (feat. San Quinn),7A,10A,1.8028,0.2586,,none,0,0
afterglow,1,3,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Boiling (feat. Sinead Harnett),7A,11A,1.0451,0.616,,none,0,0
afterglow,1,4,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix),7A,3A,1.0022,0.7637,,none,0,0
afterglow,1,5,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Calling Out Your Name (Original Mix),7A,1A,0,0.8632,,none,0,0
afterglow,1,6,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Can't Do Without You (Tale Of Us & Mano Le Tough Remix),7A,8A,1,0.7377,adjacent,harmonic,0.7,1
afterglow,1,7,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Deep in the Bottom (of Africa),7A,5A,1.5754,0.3942,,none,0,0
afterglow,1,8,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),DJs Gotta Dance More feat. Todd Terry (Extended),7A,10A,1.0441,0.6921,,none,0,0
afterglow,1,9,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Dolores,7A,10A,0.943,0.8519,,none,0,0
afterglow,1,10,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),7A,8A,1.1577,0.6487,adjacent,harmonic,0.7,1
afterglow,1,11,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Equal Responsibility (Betoko Remix),7A,12A,1,0.8438,,none,0,0
afterglow,1,12,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Escape feat. Hayla (Extended Mix),7A,8A,1.5754,0.2016,adjacent,harmonic,0.7,1
afterglow,1,13,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),7A,11A,1.1665,0.4126,,none,0,0
afterglow,1,14,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Feel The Fire (Journeyman Remix),7A,7A,1.0799,0.7053,same,harmonic,1,1
afterglow,1,15,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Feel The Game (Extended Remix),7A,1A,1.1665,0.7746,,none,0,0
afterglow,1,16,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Fifty Ways To Love Your Liver (Original Mix),7A,8A,1.4057,0.3675,adjacent,harmonic,0.7,1
afterglow,1,17,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Final Credits (Original Mix),7A,4A,1.2578,0.579,,none,0,0
afterglow,1,18,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Give Life Back to Music (Original Mix),7A,8A,0.8475,0.6137,adjacent,harmonic,0.7,1
afterglow,1,19,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Gooey (Original Mix),7A,10A,0.3253,0.8281,,none,0,0
afterglow,1,20,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Hit The Ground  (Extended Mix),7A,6A,1.1665,0.8281,adjacent,harmonic,0.7,1
afterglow,1,21,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Houdini (Adam Port Mix),7A,6A,1.1665,0.4355,adjacent,harmonic,0.7,1
afterglow,1,22,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),I Remember (Original Mix),7A,10A,1.8368,0.3364,,none,0,0
afterglow,1,23,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),I Won't Fade Away feat. Alice Russell (Original Mix),7A,9A,1.4749,0.4471,,none,0,0
afterglow,1,24,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Illusory (Extended Mix),7A,1A,1.5807,0.6639,,none,0,0
afterglow,1,25,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),It's A Memory (Amtrac Remix),7A,2A,0.7682,0.6335,,none,0,0
afterglow,1,26,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),It's Not Enough feat. Janai (Original Mix),7A,4A,1.0441,0.9278,,none,0,0
afterglow,1,27,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),It's Not Right (Original Mix),7A,5A,0.6315,0.5532,,none,0,0
afterglow,1,28,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),7A,9A,1.1665,0.9232,,none,0,0
afterglow,1,29,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Just a Bitter Love,7A,6A,0.9363,0.6749,adjacent,harmonic,0.7,1
afterglow,1,30,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Latch (Jamie Jones Remix),7A,4B,1.5009,0.2506,,none,0,0
afterglow,1,31,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Lost,7A,6A,1.1224,0.6335,adjacent,harmonic,0.7,1
afterglow,1,32,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Love Somebody Else Feat. Joi Cardwell (Original Mix),7A,12B,1,0.3957,,none,0,0
afterglow,1,33,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Love Song (Original Mix),7A,8A,1.0441,0.8431,adjacent,harmonic,0.7,1
afterglow,1,34,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Lucky Shot (Original Mix),7A,7A,0.7494,0.6572,same,harmonic,1,1
afterglow,1,35,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Lying Together,7A,2A,0.7282,0.7,,none,0,0
afterglow,1,36,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Marijuana (Original Mix),7A,1A,1.0441,0.4289,,none,0,0
afterglow,1,37,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Masala (Pablo Fierro Remix),7A,7A,1.5754,0.3556,same,harmonic,1,1
afterglow,1,38,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Midas feat. Holly Walker (Ben Pearce Re-Edit),7A,8A,1.5754,0.6143,adjacent,harmonic,0.7,1
afterglow,1,39,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Never Sleep Again (Keinemusik Remix),7A,6A,0.7606,0.525,adjacent,harmonic,0.7,1
afterglow,1,40,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Neverender (Extended),7A,11A,2.3153,0.3851,,none,0,0
afterglow,1,41,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Night Blooming Jasmine (Original Mix),7A,4A,1.0441,0.5431,,none,0,0
afterglow,1,42,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Night Blooming Jasmine (Rodriguez Jr. Remix),7A,4A,1.1665,0.4092,,none,0,0
afterglow,1,43,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Ocean Drive (Extended Mix),7A,1A,1.1665,0.2228,,none,0,0
afterglow,1,44,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),One Night/All Night (Original Mix),7A,4A,1.1665,0.2597,,none,0,0
afterglow,1,45,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Opal (Four Tet Remix),7A,8A,1.4273,0.4809,adjacent,harmonic,0.7,1
afterglow,1,46,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Preach The World (Original Mix),7A,12A,1.3808,0.4873,,none,0,0
afterglow,1,47,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Promiscuous [AV Edit],7A,3A,1,0.2558,,none,0,0
afterglow,1,48,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Regulate (feat. Nate Dogg),7A,9A,1.4685,0.257,,none,0,0
afterglow,1,49,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Saturday Night (Extended),7A,4A,1.0441,0.5598,,none,0,0
afterglow,1,50,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Sell My Heart (Kreative Nativez Remix),7A,11A,2.0882,0.4233,,none,0,0
afterglow,1,51,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Sing It Back (feat. Naila) (Original Mix),7A,12A,1.0008,0.7119,,none,0,0
afterglow,1,52,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Sing It Back (Herbert's Tasteful Dub),7A,2A,1.0441,0.4289,,none,0,0
afterglow,1,53,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Skin (Rinzen Remix),7A,8A,1.5754,0.7296,adjacent,harmonic,0.7,1
afterglow,1,54,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Slow Down (James Cole Remix),7A,9A,1.5298,0.3675,,none,0,0
afterglow,1,55,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),So U Kno (Original Mix),7A,4A,1.6206,0.2169,,none,0,0
afterglow,1,56,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Sordid Affair (Maceo Plex Mix),7A,3A,0.8407,0.4742,,none,0,0
afterglow,1,57,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Stones Throw (Original Mix),7A,8A,1.0441,0.244,adjacent,harmonic,0.7,1
afterglow,1,58,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Sunset Drive (Extended Mix),7A,5A,1.611,0.386,,none,0,0
afterglow,1,59,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Symmetry (Rodriguez Jr. Remix),7A,11A,0.9102,0.6755,,none,0,0
afterglow,1,60,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Teardrops (Don't Stop The Music) (Original Mix),7A,5B,1,0.7571,,none,0,0
afterglow,1,61,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Tearing Me Up (Original Mix),7A,7A,0.3253,0.8281,same,harmonic,1,1
afterglow,1,62,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),The Way You Move (Original Mix),7A,5A,1.5365,0.1799,,none,0,0
afterglow,1,63,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),There's Never Been (No One Like You)(P's Sunrise Edit),7A,10B,1.1665,0.7184,,none,0,0
afterglow,1,64,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Touch (Four Tet Remix),7A,8B,1.1665,0.4355,,none,0,0
afterglow,1,65,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Videotape (Original Mix),7A,12A,1.8028,0.2471,,none,0,0
afterglow,1,66,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Walk The Line (Extended Mix),7A,9A,1.1665,0.4936,,none,0,0
afterglow,1,67,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Walk The Line (Themba Extended Mix),7A,9A,2.3153,0.4233,,none,0,0
afterglow,1,68,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),We Are Child Of Love (The Mekanism Remix),7A,12A,0.9278,0.6773,,none,0,0
afterglow,1,69,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),What Can I Do,7A,8A,0.6006,0.4392,adjacent,harmonic,0.7,1
afterglow,1,70,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),What I Might Do,7A,5A,1.3732,0.2364,,none,0,0
afterglow,1,71,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),When Will I See You Again (Amtrac Remix),7A,5B,1.7708,0.3828,,none,0,0
afterglow,1,72,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Where the Subtle Meets Infinity (Original Mix),7A,1A,1.5365,0.7246,,none,0,0
afterglow,1,73,All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),Wish We Could feat. Syon & Darla Jade (Extended Mix),7A,3A,0.9122,0.6683,,none,0,0
afterglow,2,3,Ayo for Yayo (feat. San Quinn),Boiling (feat. Sinead Harnett),10A,11A,1.1971,0.5128,adjacent,harmonic,0.7,1
afterglow,2,4,Ayo for Yayo (feat. San Quinn),Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix),10A,3A,1.178,0.4688,,none,0,0
afterglow,2,5,Ayo for Yayo (feat. San Quinn),Calling Out Your Name (Original Mix),10A,1A,1.8028,0.4108,,none,0,0
afterglow,2,6,Ayo for Yayo (feat. San Quinn),Can't Do Without You (Tale Of Us & Mano Le Tough Remix),10A,8A,1.118,0.472,,none,0,0
afterglow,2,7,Ayo for Yayo (feat. San Quinn),Deep in the Bottom (of Africa),10A,5A,0.7837,0.7887,,none,0,0
afterglow,2,8,Ayo for Yayo (feat. San Quinn),DJs Gotta Dance More feat. Todd Terry (Extended),10A,10A,2.518,0.2333,same,harmonic,1,1
afterglow,2,9,Ayo for Yayo (feat. San Quinn),Dolores,10A,10A,1.1972,0.4079,same,harmonic,1,1
afterglow,2,10,Ayo for Yayo (feat. San Quinn),Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),10A,8A,0.7682,0.5447,,none,0,0
afterglow,2,11,Ayo for Yayo (feat. San Quinn),Equal Responsibility (Betoko Remix),10A,12A,1.118,0.4319,,none,0,0
afterglow,2,12,Ayo for Yayo (feat. San Quinn),Escape feat. Hayla (Extended Mix),10A,8A,0.7837,0.7882,,none,0,0
afterglow,2,13,Ayo for Yayo (feat. San Quinn),Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),10A,11A,1.2691,0.6225,adjacent,harmonic,0.7,1
afterglow,2,14,Ayo for Yayo (feat. San Quinn),Feel The Fire (Journeyman Remix),10A,7A,0.7306,0.5671,,none,0,0
afterglow,2,15,Ayo for Yayo (feat. San Quinn),Feel The Game (Extended Remix),10A,1A,1.2691,0.3606,,none,0,0
afterglow,2,16,Ayo for Yayo (feat. San Quinn),Fifty Ways To Love Your Liver (Original Mix),10A,8A,0.5862,0.9177,,none,0,0
afterglow,2,17,Ayo for Yayo (feat. San Quinn),Final Credits (Original Mix),10A,4A,0.9458,0.7018,,none,0,0
afterglow,2,18,Ayo for Yayo (feat. San Quinn),Give Life Back to Music (Original Mix),10A,8A,1.0107,0.5753,,none,0,0
afterglow,2,19,Ayo for Yayo (feat. San Quinn),Gooey (Original Mix),10A,10A,1.8989,0.2791,same,harmonic,1,1
afterglow,2,20,Ayo for Yayo (feat. San Quinn),Hit The Ground  (Extended Mix),10A,6A,1.2691,0.3174,,none,0,0
afterglow,2,21,Ayo for Yayo (feat. San Quinn),Houdini (Adam Port Mix),10A,6A,1.2691,0.6722,,none,0,0
afterglow,2,22,Ayo for Yayo (feat. San Quinn),I Remember (Original Mix),10A,10A,0.3074,0.8589,same,harmonic,1,1
afterglow,2,23,Ayo for Yayo (feat. San Quinn),I Won't Fade Away feat. Alice Russell (Original Mix),10A,9A,0.548,0.8895,adjacent,harmonic,0.7,1
afterglow,2,24,Ayo for Yayo (feat. San Quinn),Illusory (Extended Mix),10A,1A,0.7406,0.4056,,none,0,0
afterglow,2,25,Ayo for Yayo (feat. San Quinn),It's A Memory (Amtrac Remix),10A,2A,1.1577,0.5362,,none,0,0
afterglow,2,26,Ayo for Yayo (feat. San Quinn),It's Not Enough feat. Janai (Original Mix),10A,4A,1.1577,0.3785,,none,0,0
afterglow,2,27,Ayo for Yayo (feat. San Quinn),It's Not Right (Original Mix),10A,5A,1.4079,0.6214,,none,0,0
afterglow,2,28,Ayo for Yayo (feat. San Quinn),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),10A,9A,1.2691,0.3539,adjacent,harmonic,0.7,1
afterglow,2,29,Ayo for Yayo (feat. San Quinn),Just a Bitter Love,10A,6A,0.9138,0.5103,,none,0,0
afterglow,2,30,Ayo for Yayo (feat. San Quinn),Latch (Jamie Jones Remix),10A,4B,1.0445,0.9014,,none,0,0
afterglow,2,31,Ayo for Yayo (feat. San Quinn),Lost,10A,6A,0.8284,0.6881,,none,0,0
afterglow,2,32,Ayo for Yayo (feat. San Quinn),Love Somebody Else Feat. Joi Cardwell (Original Mix),10A,12B,1.118,0.6604,,none,0,0
afterglow,2,33,Ayo for Yayo (feat. San Quinn),Love Song (Original Mix),10A,8A,1.1577,0.4076,,none,0,0
